id;date;details;status;payment_method;payment_date;payment_amount
1;2020-01-23T23:03:47;RAM Focused;PAID;CASH_ON_DELIVERY;2020-01-24T07:25:54;64379
2;2020-01-23T19:53:53;Licensed Soft Sausages Rhode Island;CANCELLED;CASH_ON_DELIVERY;2020-01-24T01:04:11;17323
3;2020-01-24T00:21:18;Incredible Baby;CANCELLED;PAYPAL;2020-01-24T03:52:59;11017
4;2020-01-23T21:51:13;back-end Money Market Account Legacy;ISSUED;CASH_ON_DELIVERY;2020-01-23T21:55:21;51438
5;2020-01-23T16:31:21;function;PAID;PAYPAL;2020-01-24T09:05:26;32278
6;2020-01-23T17:31:09;action-items;CANCELLED;CASH_ON_DELIVERY;2020-01-24T07:18:21;5232
7;2020-01-24T10:17:52;Internal compressing Iceland;CANCELLED;CREDIT_CARD;2020-01-24T03:55:14;62169
8;2020-01-23T20:12:56;Toys;ISSUED;PAYPAL;2020-01-24T06:50:53;10756
9;2020-01-23T21:43:21;Small Rubber Salad Oklahoma;CANCELLED;PAYPAL;2020-01-24T11:26:54;58055
10;2020-01-23T20:21:06;navigate Home Loan Account Guinea-Bissau;PAID;PAYPAL;2020-01-24T08:47:17;94075
