id;placed_date;status;code
1;2020-01-24T06:27:45;COMPLETED;Georgia calculate withdrawal
2;2020-01-23T17:24:15;COMPLETED;compress Steel out-of-the-box
3;2020-01-23T18:55:27;PENDING;Concrete
4;2020-01-24T08:21:22;CANCELLED;Investment Account
5;2020-01-23T19:38:12;PENDING;United States of America
6;2020-01-24T09:50:16;CANCELLED;IB Industrial Credit Card Account
7;2020-01-24T12:56:41;CANCELLED;Cotton Egyptian Pound
8;2020-01-23T21:52:45;COMPLETED;Home Loan Account
9;2020-01-24T06:47:01;COMPLETED;Human
10;2020-01-23T16:55:39;CANCELLED;payment
